Time,Type,Entry,Exit,PnL,Result
2022-10-07 15:52:00,BUY,1691.04,1690.767784027703,-366.0627026489541,SL
2022-10-07 17:16:00,SELL,1696.13,1697.261361828256,-130.57358430641398,SL
2022-10-07 17:19:00,SELL,1697.34,1698.1886699999998,-1132.047507889478,SL
2022-10-07 17:22:00,SELL,1698.78,1699.6293899999998,-1120.7270328105833,SL
2022-10-07 17:27:00,BUY,1700.02,1698.7688307645058,-285.6372413561636,SL
2022-10-07 17:40:00,SELL,1699.28,1699.0107374494696,144.65194514006566,TSL
2022-10-07 17:57:00,BUY,1699.38,1701.7453101516517,865.0242964138348,TSL
2022-10-07 18:36:00,SELL,1701.69,1701.6963141183999,-2.925873787129348,SL
2022-10-07 19:21:00,BUY,1704.04,1705.2099065534774,418.7406381618115,TSL
2022-10-07 20:13:00,SELL,1701.44,1700.059538253147,537.2864009287142,TSL
2022-10-10 01:19:00,BUY,1698.91,1698.434146589472,-125.22184385571936,SL
2022-10-10 10:58:00,SELL,1686.13,1682.4300000000003,2250.0778913978634,TP
2022-10-10 11:20:00,SELL,1681.53,1681.7874783942323,-162.34433275335775,SL
2022-10-10 12:22:00,SELL,1683.71,1682.0262900000002,2291.8325625707535,TP
2022-10-10 14:43:00,BUY,1674.35,1676.0243499999997,2337.6692138221683,TP
2022-10-10 15:13:00,BUY,1676.02,1676.6083929614056,381.243878733074,TSL
2022-10-10 15:20:00,SELL,1676.42,1676.579177912434,-100.73045598429188,SL
2022-10-10 15:24:00,SELL,1676.02,1677.59,-1195.0164332767938,SL
2022-10-10 15:34:00,SELL,1677.5,1677.883261518619,-540.5946645156931,SL
2022-10-10 15:35:00,SELL,1677.94,1678.77897,-1177.6603222988688,SL
2022-10-10 15:45:00,BUY,1678.93,1676.1,-1165.8837190758802,SL
2022-10-10 15:58:00,SELL,1676.55,1676.7946456158322,-105.75882286056395,SL
2022-10-10 16:00:00,SELL,1676.58,1677.4182899999998,-1153.1672936565158,SL
2022-10-10 16:17:00,SELL,1676.32,1676.7230177927042,-194.13479659710538,SL
2022-10-10 16:41:00,SELL,1673.83,1673.8809921119348,-40.079598570899755,SL
2022-10-10 16:50:00,SELL,1675.48,1676.31774,-1139.2934767682707,SL
2022-10-10 17:28:00,BUY,1676.69,1673.85,-1127.9005420005878,SL
2022-10-10 17:30:00,BUY,1672.61,1674.2826099999995,2233.243073161164,TP
